sentiment,content
sadness,@Penguin_J heehee. i love you! i am tired.
sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!
neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
sadness,@joiskol  being in your room makes me sad.
neutral,for the gays i only made 200 tonight
sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
sadness,@meljachin: eww. dislike
neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
sadness,"@SuzyDunkley sorry bout the cat,"
neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
sadness,missed iron chef
sadness,@thevowel the DS version sucks
sadness,what a bad day
neutral,the week just wasnt the same without an adam lambert performance!!!
neutral,@rockingjude The link doesn't work
neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."
neutral,Smh @ hiphop nursery rhymes
happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
sadness,went to the cd store to search for the cd. But
sadness,I miss my mom..  &quot;May angels lead you in&quot;
neutral,"@taylor_d No, it's not..."
sadness,@chocolovere i feel the same way every day
sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
sadness,So have a headache right now and it sucks
sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
sadness,misses my baby.
neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you
sadness,I'm poorly and can't sleep
sadness,has work tom.
neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
neutral,Can't sleep and nothings on tv!!
neutral,@KallieT oh ... you've been superseeded?  not good enough
sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
anger,fuckin'm transtelecom
sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
sadness,@nickkk_ that sucks!
neutral,@dorkydeanna IIII know!!! and mean
sadness,Having Fever  dont feel to work
neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
neutral,back to work.. with no distractions..
happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
neutral,awwww  i never noticed this http://bit.ly/RConp
neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx
neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
sadness,Missing you all deeply
neutral,"the time you go to bed,  i have to get up to go to work"
happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
neutral,"@miss_cheryl Lucky, now I want to teleport"
sadness,I don't want her to leave..
happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
anger,Working   But it's Fridaaaayyyyy
sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
sadness,@WillyNorthpole I wish I was there
sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
neutral,FC is finally up again. it's about time. i hate that this keeps happening
neutral,seriously bored without anyone to talk to... but not tired enough for sleep
sadness,morning again! I hate mornings. So offensive!
neutral,@keytar still!! give your computer a break omg
sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
neutral,where u at?
sadness,@brianshead waah. We're no longer your peeps.
sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
neutral,@Forever_Yours13 I'm not at home with my cats right now!
neutral,Leno's last show was tonight.  I like him better than Conan.
sadness,@MariusLT I'm sorry about your bad driving experiences.
neutral,@monpio i don't have any of that
sadness,Already misses @CMontecillo
neutral,@eCheers Random has an a
sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
neutral,@ddlovato july... too long
neutral,Wearing glasses gives me a headache.
sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
sadness,"First my work computer, now my home laptop is fucked."
neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
sadness,@joek949 It's depressing I'm stuck inside all day
sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
sadness,"Woke Up,I Wanna Stay In My bed"
sadness,Upsidedown tomato plants died!
neutral,"friday here at last, not much fun when your skint though"
sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
neutral,the times they are a changing
sadness,@prncsztalia why do you hate me!?
neutral,@slickiris video is not available to us foreigners
sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
sadness,#jonaswebcast i just missed it!!!!
neutral,waiting to get picked up!
sadness,So exhausted..can't sleep. I don't like these nights
sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
sadness,@NothinButSin sorry to hear that.
sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
anger,Packing  I don't like it..
neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
sadness,finished a whole box of ice cream
neutral,In 1 horse town + 2 blown out car speakers =
neutral,Someone make me a cofffeeeeeee......
neutral,My nose is stuffy
neutral,last night in newport
happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,Baby was not herself after recieving vaccines
happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
sadness,@chrisontv88 btw I am not a wimp
sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
sadness,I don't wanna go back to work   sleepy time.
neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
neutral,@zaharh that sucks!  how old are you actually?
neutral,Still confuse...
sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
neutral,scratch that; sleep on a stage bound.
neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
neutral,@laurelexmachina Swimming is a no go for me
sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
sadness,I miss my friend
neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
sadness,Yea i just saw this really sad commercial
sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
neutral,@Joshuah_Pearson
neutral,@ccburns Unfortunately not
sadness,Hates having to sleep alone
neutral,@emlevins
sadness,I loved johnny carson now I'm going to hate seeing jay leno go
sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
neutral,ups ketauan cabut nih gimana dong
sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
happiness,@UniqueMakis Awesome! Wish I could fly out to see her
sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
neutral,Off to bed!! Still exhausted from Vegas
neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
sadness,@Dakshinamurti Not yet... sorry
neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
neutral,asks for karma points please.  http://plurk.com/p/wxnt9
happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
sadness,tummy ache.
neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
neutral,@Johnny_Exp not where i live.
sadness,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
sadness,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite
neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos"
neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?
neutral,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?"
sadness,"I can't sleep, this is so darn frustrating."
neutral,@thunder_express i didnt get to see it tonight
sadness,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
sadness,RIP kelly  fucccccck
neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter
sadness,Not feeling too good
sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
neutral,Fakin' kisha...just my luck!
sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
neutral,so tense..so emotional...so not me..
neutral,playing the game of watching straight people hook up but can't leave because of another reason
neutral,@daveg38 yeah work today  never mind only one day then sun sun sun....
sadness,its funny. i'm kinda sad on my last day
neutral,@heresmyhello92 I don't think it was either. But I can't remember it.
neutral,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
sadness,Jenny fell asleep and didn't come over
sadness,Wishes you had teased me with movie night
sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
neutral,@soonseeofpred becuz you braggin
sadness,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
neutral,@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.
neutral,And then you find out today they had there first kiss! }
sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
sadness,"off to work now, finish about 9pm  booooo."
sadness,Wishes you hadn't teased me with movie night
neutral,"dont know why so tired today  bye, time for beddy"
sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
neutral,"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin"
neutral,@curligirl morning hon. what you having for breakfast? I cant decide
sadness,should be sleeping.  lost my voice a couple day ago.
neutral,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks
sadness,I was too sleepy earlier and i didnt get to see matt
sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
neutral,@DellOutletUK But now it's gone
sadness,how to have a glowing face? my complexion is always so pale
sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
neutral,ups ketauan cabut sama @gemamalove @chikachilo nih
neutral,"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now"
happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
neutral,@talentdmrripley  maybe a good night's sleep for everyone?
neutral,"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it."
sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd
sadness,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
sadness,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
neutral,Work at 5:45am =
neutral,@anthothemantho Hell yes. I'm too late.
